1	Estudia con tiempo y no dejes todo para el último día, eso me funcionó.
2	Llévalo al veterinario, puede tener algo en el estómago.
3	París, obviamente.
4	Ayuda con la salud y te da más energía, aunque también depende de la dieta.
5	Usa un antivirus gratis como Avast o Malwarebytes.
6	IPv4 usa 32 bits, IPv6 usa 128 bits, y hay más direcciones.
7	Haz un presupuesto y evita comprar cosas innecesarias.
8	Busca tutoriales en YouTube, yo aprendí así.
9	No pasa nada grave, solo gasta más electricidad.
10	Por la dispersión de la luz solar en la atmósfera.
11	Haz ejercicio y come menos pan o comida chatarra.
12	Provoca calor, sequías y afecta a los animales.
13	Depende del sitio, revisa que tenga buenas reseñas.
14	Guarda los datos que usa tu PC en ese momento.
15	Dicen que el agua representa emociones o limpieza interior.
