1	¿Cómo puedo mejorar mi rendimiento académico?
2	Mi gato no quiere comer, ¿qué puedo hacer?
3	¿Cuál es la capital de Francia?
4	¿Qué beneficios tiene correr todos los días?
5	¿Cómo elimino virus de mi computador?
6	¿Qué diferencia hay entre IPv4 e IPv6?
7	¿Cómo puedo ahorrar dinero siendo estudiante?
8	¿Cuál es la mejor manera de aprender Python?
9	¿Qué pasa si dejo mi celular cargando toda la noche?
10	¿Por qué el cielo es azul?
11	¿Cómo puedo bajar de peso saludablemente?
12	¿Cuáles son los efectos del cambio climático?
13	¿Qué tan seguro es comprar por Internet?
14	¿Cuál es la función de la memoria RAM?
15	¿Qué significa soñar con agua?
